date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2000-01-26,Costa Rica,Trinidad and Tobago,2,1,Friendly,San José,Costa Rica,FALSE
2000-01-26,Guatemala,Panama,1,1,Friendly,Guatemala,Guatemala,FALSE
2000-01-26,Spain,Poland,3,0,Friendly,Cartagena,Spain,FALSE
2000-01-26,Uganda,Libya,3,2,Friendly,Kampala,Uganda,FALSE
2000-01-26,Vietnam,Philippines,3,0,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE
2000-01-27,Ghana,Togo,2,0,African Cup of Nations,Accra,Ghana,FALSE
2000-01-27,South Africa,DR Congo,1,0,African Cup of Nations,Kumasi,Ghana,TRUE
2000-01-28,Cameroon,Ivory Coast,3,0,African Cup of Nations,Accra,Ghana,TRUE
2000-01-28,Egypt,Senegal,1,0,African Cup of Nations,Kano,Nigeria,TRUE
2000-01-28,Nigeria,Congo,0,0,African Cup of Nations,Lagos,Nigeria,FALSE
2000-01-28,U.S. Virgin Islands,Saint Lucia,0,9,Friendly,St. Croix Island,U.S. Virgin Islands,FALSE
2000-01-29,Algeria,Gabon,3,1,African Cup of Nations,Kumasi,Ghana,TRUE
2000-01-29,Chile,United States,1,2,Friendly,Coquimbo,Chile,FALSE
2000-01-29,Philippines,Guam,2,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE
2000-01-29,Tunisia,Morocco,0,0,African Cup of Nations,Lagos,Nigeria,TRUE
2000-01-29,Vietnam,China PR,0,2,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE
2000-01-29,Zambia,Burkina Faso,1,1,African Cup of Nations,Kano,Nigeria,TRUE
2000-01-30,U.S. Virgin Islands,Saint Lucia,0,2,Friendly,St. Croix Island,U.S. Virgin Islands,FALSE
2000-01-31,Cameroon,Togo,0,1,African Cup of Nations,Kumasi,Ghana,TRUE
2000-01-31,Faroe Islands,Finland,0,1,Nordic Championship,Cartagena,Spain,TRUE
2000-01-31,Ghana,Ivory Coast,0,2,African Cup of Nations,Accra,Ghana,FALSE
2000-01-31,Iceland,Norway,0,0,Nordic Championship,Cartagena,Spain,TRUE
2000-01-31,Kuwait,Syria,4,0,Friendly,Kuwait City,Kuwait,FALSE
2000-02-01,British Virgin Islands,Saint Lucia,2,3,Friendly,Road Town,British Virgin Islands,FALSE
2000-02-01,Egypt,Burkina Faso,4,2,African Cup of Nations,Kano,Nigeria,TRUE
2000-02-01,Zambia,Senegal,2,2,African Cup of Nations,Lagos,Nigeria,TRUE
2000-02-02,Armenia,Moldova,2,1,Cyprus International Tournament,Larnaca,Cyprus,TRUE
2000-02-02,DR Congo,Gabon,0,0,African Cup of Nations,Accra,Ghana,TRUE
2000-02-02,Costa Rica,Chile,1,0,Friendly,San José,Costa Rica,FALSE
2000-02-02,Cyprus,Lithuania,2,1,Cyprus International Tournament,Limassol,Cyprus,FALSE
2000-02-02,Finland,Iceland,0,1,Nordic Championship,Cartagena,Spain,TRUE
2000-02-02,Romania,Latvia,2,0,Cyprus International Tournament,Paphos,Cyprus,TRUE
2000-02-02,South Africa,Algeria,1,1,African Cup of Nations,Kumasi,Ghana,TRUE
2000-02-02,Saint Kitts and Nevis,Saint Lucia,0,1,Friendly,Basseterre,Saint Kitts and Nevis,FALSE
2000-02-03,Nigeria,Morocco,2,0,African Cup of Nations,Lagos,Nigeria,FALSE
2000-02-03,Tunisia,Congo,1,0,African Cup of Nations,Kano,Nigeria,TRUE
2000-02-04,Cyprus,Armenia,3,2,Cyprus International Tournament,Nicosia,Cyprus,FALSE
2000-02-04,Faroe Islands,Iceland,2,3,Nordic Championship,Cartagena,Spain,TRUE
2000-02-04,Kuwait,Iran,1,1,Friendly,Kuwait City,Kuwait,FALSE
2000-02-04,Moldova,Lithuania,2,1,Cyprus International Tournament,Larnaca,Cyprus,TRUE
2000-02-04,Norway,Sweden,1,1,Nordic Championship,Cartagena,Spain,TRUE
2000-02-04,Romania,Georgia,1,1,Cyprus International Tournament,Larnaca,Cyprus,TRUE
2000-02-05,Guatemala,Chile,2,1,Friendly,Guatemala,Guatemala,FALSE
2000-02-05,Japan,Mexico,0,1,Lunar New Year Cup,So Kon Po,Hong Kong,TRUE
2000-02-06,Albania,Andorra,3,0,Malta International Tournament,Attard,Malta,TRUE
2000-02-06,Cameroon,Algeria,2,1,African Cup of Nations,Accra,Ghana,TRUE
2000-02-06,Cayman Islands,Jamaica,0,0,Friendly,George Town,Cayman Islands,FALSE
2000-02-06,Cyprus,Romania,3,2,Cyprus International Tournament,Nicosia,Cyprus,FALSE
2000-02-06,Georgia,Armenia,2,1,Cyprus International Tournament,Limassol,Cyprus,TRUE
2000-02-06,Ghana,South Africa,0,1,African Cup of Nations,Kumasi,Ghana,FALSE
2000-02-06,Latvia,Lithuania,1,2,Cyprus International Tournament,Larnaca,Cyprus,TRUE
2000-02-06,Malta,Azerbaijan,3,0,Malta International Tournament,Attard,Malta,FALSE
2000-02-07,Egypt,Tunisia,0,1,African Cup of Nations,Kano,Nigeria,TRUE
2000-02-07,Nigeria,Senegal,2,1,African Cup of Nations,Lagos,Nigeria,FALSE
2000-02-07,Singapore,Malaysia,3,1,Friendly,Singapore,Singapore,FALSE
2000-02-08,Albania,Azerbaijan,1,0,Malta International Tournament,Attard,Malta,TRUE
2000-02-08,Malta,Andorra,1,1,Malta International Tournament,Attard,Malta,FALSE
2000-02-08,Mexico,Czech Republic,1,2,Lunar New Year Cup,So Kon Po,Hong Kong,TRUE
2000-02-08,Syria,North Korea,5,1,Friendly,Damascus,Syria,FALSE
2000-02-09,Bulgaria,Slovakia,1,0,Friendly,Valparaíso,Chile,TRUE
2000-02-09,Cayman Islands,Jamaica,0,1,Friendly,George Town,Cayman Islands,FALSE
2000-02-09,Chile,Australia,2,1,Friendly,Valparaíso,Chile,FALSE
2000-02-09,Honduras,El Salvador,5,1,Friendly,San Pedro Sula,Honduras,FALSE
2000-02-10,Andorra,Azerbaijan,0,0,Malta International Tournament,Attard,Malta,TRUE
2000-02-10,Cameroon,Tunisia,3,0,African Cup of Nations,Accra,Ghana,TRUE
2000-02-10,Hong Kong,Singapore,0,0,Friendly,Victoria,Hong Kong,FALSE
2000-02-10,Kuwait,Turkmenistan,6,1,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE
2000-02-10,Malta,Albania,0,1,Malta International Tournament,Attard,Malta,FALSE
2000-02-10,Nepal,Yemen,0,3,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE
2000-02-10,Nigeria,South Africa,2,0,African Cup of Nations,Lagos,Nigeria,FALSE
2000-02-12,Australia,Slovakia,0,0,Friendly,Valparaíso,Chile,TRUE
2000-02-12,Chile,Bulgaria,3,2,Friendly,Valparaíso,Chile,FALSE
2000-02-12,Colombia,Jamaica,1,0,Gold Cup,Miami,United States,TRUE
2000-02-12,Nepal,Bhutan,3,0,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE
2000-02-12,South Africa,Tunisia,2,2,African Cup of Nations,Accra,Ghana,TRUE
2000-02-12,United States,Haiti,3,0,Gold Cup,Miami,United States,FALSE
2000-02-12,Yemen,Turkmenistan,0,1,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE
2000-02-13,Costa Rica,Canada,2,2,Gold Cup,San Diego,United States,TRUE
2000-02-13,Dominican Republic,British Virgin Islands,1,0,Friendly,Santo Domingo,Dominican Republic,FALSE
2000-02-13,Macau,Brunei,1,0,AFC Asian Cup qualification,Macau,Macau,FALSE
2000-02-13,Mexico,Trinidad and Tobago,4,0,Gold Cup,San Diego,United States,TRUE
2000-02-13,Nigeria,Cameroon,2,2,African Cup of Nations,Lagos,Nigeria,FALSE
2000-02-13,Singapore,Japan,0,3,AFC Asian Cup qualification,Macau,Macau,TRUE
2000-02-13,Syria,North Korea,0,0,Friendly,Damascus,Syria,FALSE
2000-02-14,Haiti,Peru,1,1,Gold Cup,Miami,United States,TRUE
2000-02-14,Jamaica,Honduras,0,2,Gold Cup,Miami,United States,TRUE
2000-02-14,Kuwait,Bhutan,20,0,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE
2000-02-14,Turkmenistan,Nepal,5,0,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE
2000-02-15,Australia,Bulgaria,1,1,Friendly,Valparaíso,Chile,TRUE
2000-02-15,Canada,South Korea,0,0,Gold Cup,Los Angeles,United States,TRUE
2000-02-15,Chile,Slovakia,0,2,Friendly,Valparaíso,Chile,FALSE
2000-02-15,Malaysia,Maldives,2,0,Friendly,Kuala Lumpur,Malaysia,FALSE
2000-02-15,Trinidad and Tobago,Guatemala,4,2,Gold Cup,Los Angeles,United States,TRUE
2000-02-16,Bhutan,Turkmenistan,0,8,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE
2000-02-16,Honduras,Colombia,2,0,Gold Cup,Miami,United States,TRUE
2000-02-16,Japan,Brunei,9,0,AFC Asian Cup qualification,Macau,Macau,TRUE
2000-02-16,Kuwait,Yemen,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE
2000-02-16,Lebanon,North Korea,1,0,Friendly,Beirut,Lebanon,FALSE
2000-02-16,Macau,Singapore,0,1,AFC Asian Cup qualification,Macau,Macau,FALSE
2000-02-16,Panama,El Salvador,4,1,Friendly,Panama City,Panama,FALSE
2000-02-16,United States,Peru,1,0,Gold Cup,Miami,United States,FALSE
2000-02-17,Barbados,Saint Kitts and Nevis,1,0,Friendly,Bridgetown,Barbados,FALSE
2000-02-17,South Korea,Costa Rica,2,2,Gold Cup,Los Angeles,United States,TRUE
2000-02-17,Malaysia,Maldives,3,0,Friendly,Kuala Lumpur,Malaysia,FALSE
2000-02-17,Mexico,Guatemala,1,1,Gold Cup,Los Angeles,United States,TRUE
2000-02-18,Kuwait,Nepal,5,0,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE
2000-02-18,Yemen,Bhutan,11,2,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE
2000-02-19,Dominica,Antigua and Barbuda,2,0,Friendly,Roseau,Dominica,FALSE
2000-02-19,Honduras,Peru,3,5,Gold Cup,Miami,United States,TRUE
2000-02-19,Oman,Switzerland,1,4,Friendly,Muscat,Oman,FALSE
2000-02-19,United Arab Emirates,Slovenia,1,1,Friendly,Muscat,Oman,TRUE
2000-02-19,United States,Colombia,2,2,Gold Cup,Miami,United States,FALSE
2000-02-20,Costa Rica,Trinidad and Tobago,1,2,Gold Cup,San Diego,United States,TRUE
2000-02-20,Lesotho,Eswatini,1,0,Friendly,Maseru,Lesotho,FALSE
2000-02-20,Macau,Japan,0,3,AFC Asian Cup qualification,Macau,Macau,FALSE
2000-02-20,Mexico,Canada,1,2,Gold Cup,San Diego,United States,TRUE
2000-02-20,Singapore,Brunei,1,0,AFC Asian Cup qualification,Macau,Macau,TRUE
2000-02-20,Thailand,Finland,0,0,King's Cup,Bangkok,Thailand,FALSE
2000-02-20,Kernow,Guernsey,1,2,Friendly,Cornwall,England,FALSE
2000-02-21,Oman,United Arab Emirates,0,1,Friendly,Muscat,Oman,FALSE
2000-02-23,Belgium,Portugal,1,1,Friendly,Charleroi,Belgium,FALSE
2000-02-23,Colombia,Peru,2,1,Gold Cup,San Diego,United States,TRUE
2000-02-23,Croatia,Spain,0,0,Friendly,Split,Croatia,FALSE
2000-02-23,England,Argentina,0,0,Friendly,London,England,FALSE
2000-02-23,Estonia,Finland,2,4,King's Cup,Bangkok,Thailand,TRUE
2000-02-23,France,Poland,1,0,Friendly,Saint-Denis,France,FALSE
2000-02-23,Greece,Austria,4,1,Friendly,Kalamáta,Greece,FALSE
2000-02-23,Hungary,Australia,0,3,Friendly,Budapest,Hungary,FALSE
2000-02-23,Republic of Ireland,Czech Republic,3,2,Friendly,Dublin,Republic of Ireland,FALSE
2000-02-23,Israel,Russia,4,1,Friendly,Haifa,Israel,FALSE
2000-02-23,Italy,Sweden,1,0,Friendly,Palermo,Italy,FALSE
2000-02-23,Lebanon,Jordan,1,1,Friendly,Tripoli,Lebanon,FALSE
2000-02-23,Luxembourg,Northern Ireland,1,3,Friendly,Luxembourg,Luxembourg,FALSE
2000-02-23,North Macedonia,Serbia,1,2,Friendly,Skopje,North Macedonia,FALSE
2000-02-23,Netherlands,Germany,2,1,Friendly,Amsterdam,Netherlands,FALSE
2000-02-23,Oman,Slovenia,0,4,Friendly,Muscat,Oman,FALSE
2000-02-23,Qatar,Wales,0,1,Friendly,Doha,Qatar,FALSE
2000-02-23,Thailand,Brazil,0,7,King's Cup,Bangkok,Thailand,FALSE
2000-02-23,Turkey,Norway,0,2,Friendly,Istanbul,Turkey,FALSE
2000-02-23,United Arab Emirates,Switzerland,1,0,Friendly,Muscat,Oman,TRUE
2000-02-24,Trinidad and Tobago,Canada,0,1,Gold Cup,Los Angeles,United States,TRUE
2000-02-25,British Virgin Islands,Anguilla,3,4,Friendly,Road Town,British Virgin Islands,FALSE
2000-02-25,Thailand,Estonia,2,1,King's Cup,Bangkok,Thailand,FALSE
2000-02-27,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,FALSE
2000-02-27,British Virgin Islands,Anguilla,5,0,Friendly,Road Town,British Virgin Islands,FALSE
2000-02-27,Canada,Colombia,2,0,Gold Cup,Los Angeles,United States,TRUE
2000-02-27,Thailand,Finland,5,1,King's Cup,Bangkok,Thailand,FALSE
2000-02-29,Barbados,Antigua and Barbuda,2,2,Friendly,Bridgetown,Barbados,FALSE
2000-02-29,El Salvador,Panama,3,1,Friendly,San Salvador,El Salvador,FALSE
2000-02-29,Uzbekistan,Mongolia,8,1,Friendly,Tashkent,Uzbekistan,FALSE
2000-03-01,Zambia,Lesotho,2,0,Friendly,Lusaka,Zambia,FALSE
2000-03-04,Honduras,Nicaragua,3,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
2000-03-04,Trinidad and Tobago,Curaçao,5,0,FIFA World Cup qualification,Macoya,Trinidad and Tobago,FALSE
2000-03-05,Anguilla,Bahamas,1,3,FIFA World Cup qualification,The Valley,Anguilla,FALSE
2000-03-05,Barbados,Grenada,2,2,FIFA World Cup qualification,Bridgetown,Barbados,FALSE
2000-03-05,Bolivia,Haiti,9,2,Friendly,La Paz,Bolivia,FALSE
2000-03-05,British Virgin Islands,Bermuda,1,5,FIFA World Cup qualification,Road Town,British Virgin Islands,FALSE
2000-03-05,Cuba,Cayman Islands,4,0,FIFA World Cup qualification,Havana,Cuba,FALSE
2000-03-05,Dominican Republic,Montserrat,3,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,FALSE
2000-03-05,El Salvador,Belize,5,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE
2000-03-05,Ethiopia,Sudan,1,0,Friendly,Addis Abeba,Ethiopia,FALSE
2000-03-05,Saint Lucia,Suriname,1,0,FIFA World Cup qualification,Castries,Saint Lucia,FALSE
2000-03-05,Saint Vincent and the Grenadines,U.S. Virgin Islands,9,0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,FALSE
2000-03-05,Zimbabwe,Lesotho,2,1,COSAFA Cup,Harare,Zimbabwe,FALSE
2000-03-06,Syria,Jordan,0,0,Friendly,Damascus,Syria,FALSE
2000-03-08,Ecuador,Honduras,1,3,Friendly,Quito,Ecuador,FALSE
2000-03-08,Jordan,Lebanon,1,1,Friendly,Amman,Jordan,FALSE
2000-03-09,Cuba,Nicaragua,4,0,Friendly,Havana,Cuba,FALSE
2000-03-10,Qatar,Sudan,3,0,Friendly,Doha,Qatar,FALSE
2000-03-11,Aruba,Puerto Rico,4,2,FIFA World Cup qualification,Oranjestad,Aruba,FALSE
2000-03-11,Haiti,Dominica,4,0,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
2000-03-11,Jordan,Bosnia and Herzegovina,0,0,Friendly,Zarqa,Jordan,FALSE
2000-03-12,United States,Tunisia,1,1,Friendly,Birmingham,United States,FALSE
2000-03-12,Zambia,Malawi,1,1,Friendly,Kitwe,Zambia,FALSE
2000-03-13,Jordan,Syria,0,0,Friendly,Amman,Jordan,FALSE
2000-03-13,Zambia,Malawi,0,1,Friendly,Lusaka,Zambia,FALSE
2000-03-15,Japan,China PR,0,0,Friendly,Kobe,Japan,FALSE
2000-03-15,Jordan,Bosnia and Herzegovina,1,2,Friendly,Zarqa,Jordan,FALSE
2000-03-16,Venezuela,Bolivia,0,0,Friendly,Maracaibo,Venezuela,FALSE
2000-03-17,Jordan,Syria,0,0,Friendly,Amman,Jordan,FALSE
2000-03-18,Curaçao,Trinidad and Tobago,1,1,FIFA World Cup qualification,Willemstad,Netherlands Antilles,TRUE
2000-03-18,Grenada,Barbados,2,3,FIFA World Cup qualification,St. George's,Grenada,FALSE
2000-03-18,Puerto Rico,Aruba,2,2,FIFA World Cup qualification,San Juan,Puerto Rico,FALSE
2000-03-18,Saint Kitts and Nevis,Turks and Caicos Islands,8,0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,FALSE
2000-03-19,Bahamas,Anguilla,2,1,FIFA World Cup qualification,Nassau,Bahamas,FALSE
2000-03-19,Belize,Guatemala,1,2,FIFA World Cup qualification,San Pedro Sula,Honduras,TRUE
2000-03-19,Bermuda,British Virgin Islands,9,0,FIFA World Cup qualification,Hamilton,Bermuda,FALSE
2000-03-19,Botswana,Eswatini,3,0,Friendly,Gaborone,Botswana,FALSE
2000-03-19,Cayman Islands,Cuba,0,0,FIFA World Cup qualification,George Town,Cayman Islands,FALSE
2000-03-19,Dominica,Haiti,1,3,FIFA World Cup qualification,Roseau,Dominica,FALSE
2000-03-19,Montserrat,Dominican Republic,1,3,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,TRUE
2000-03-19,Nicaragua,Panama,0,2,FIFA World Cup qualification,Diriamba,Nicaragua,FALSE
2000-03-19,Suriname,Saint Lucia,1,0,FIFA World Cup qualification,Paramaribo,Suriname,FALSE
2000-03-19,U.S. Virgin Islands,Saint Vincent and the Grenadines,1,5,FIFA World Cup qualification,Frederiksted,U.S. Virgin Islands,FALSE
2000-03-20,Bahrain,Kazakhstan,0,1,Friendly,Manama,Bahrain,FALSE
2000-03-21,Namibia,Zimbabwe,2,1,Friendly,Windhoek,Namibia,FALSE
2000-03-21,Saint Kitts and Nevis,Turks and Caicos Islands,6,0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,FALSE
2000-03-22,Bahrain,Qatar,1,0,Friendly,Manama,Bahrain,FALSE
2000-03-22,Chile,Honduras,5,2,Friendly,Santiago,Chile,FALSE
2000-03-22,Cyprus,Iran,0,0,Friendly,Nicosia,Cyprus,FALSE
2000-03-24,Gambia,Mauritania,0,0,Friendly,Banjul,Gambia,FALSE
2000-03-25,Bahrain,Jordan,1,1,Friendly,Manama,Bahrain,FALSE
2000-03-25,Malaysia,Chinese Taipei,3,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,FALSE
2000-03-25,Tanzania,Malawi,1,1,Friendly,Morogoro,Tanzania,FALSE
2000-03-25,Thailand,North Korea,0,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,TRUE
2000-03-25,Zambia,Botswana,3,0,COSAFA Cup,Lusaka,Zambia,FALSE
2000-03-26,Tanzania,Malawi,4,3,Friendly,Dar es Salaam,Tanzania,FALSE
2000-03-27,Malaysia,North Korea,1,1,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,FALSE
2000-03-27,Thailand,Chinese Taipei,2,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,TRUE
2000-03-28,Colombia,Brazil,0,0,FIFA World Cup qualification,Bogotá,Colombia,FALSE
2000-03-28,El Salvador,Haiti,3,1,Friendly,San Salvador,El Salvador,FALSE
2000-03-28,Malta,Northern Ireland,0,3,Friendly,Attard,Malta,FALSE
2000-03-28,Serbia,China PR,1,0,Friendly,Belgrade,Yugoslavia,FALSE
2000-03-29,Argentina,Chile,4,1,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE
2000-03-29,Austria,Sweden,1,1,Friendly,Graz,Austria,FALSE
2000-03-29,Belgium,Netherlands,2,2,Friendly,Brussels,Belgium,FALSE
2000-03-29,Bosnia and Herzegovina,North Macedonia,1,0,Friendly,Zenica,Bosnia and Herzegovina,FALSE
2000-03-29,Bulgaria,Belarus,4,1,Friendly,Sofia,Bulgaria,FALSE
2000-03-29,Croatia,Germany,1,1,Friendly,Zagreb,Croatia,FALSE
2000-03-29,Czech Republic,Australia,3,1,Friendly,Teplice,Czech Republic,FALSE
2000-03-29,Ecuador,Venezuela,2,0,FIFA World Cup qualification,Quito,Ecuador,FALSE
2000-03-29,Greece,Romania,2,0,Friendly,Athens,Greece,FALSE
2000-03-29,Hungary,Poland,0,0,Friendly,Debrecen,Hungary,FALSE
2000-03-29,Israel,Georgia,1,1,Friendly,Ashkelon,Israel,FALSE
2000-03-29,Malaysia,Thailand,3,2,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,FALSE
2000-03-29,Peru,Paraguay,2,0,FIFA World Cup qualification,Lima,Peru,FALSE
2000-03-29,Portugal,Denmark,2,1,Friendly,Leiria,Portugal,FALSE
2000-03-29,Scotland,France,0,2,Friendly,Glasgow,Scotland,FALSE
2000-03-29,Spain,Italy,2,0,Friendly,Barcelona,Spain,FALSE
2000-03-29,Switzerland,Norway,2,2,Friendly,Lugano,Switzerland,FALSE
2000-03-29,Uruguay,Bolivia,1,0,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
2000-03-29,Wales,Finland,1,2,Friendly,Cardiff,Wales,FALSE
2000-03-31,Gambia,Mauritania,0,0,Friendly,Banjul,Gambia,FALSE
2000-03-31,Jordan,Kazakhstan,0,1,AFC Asian Cup qualification,Doha,Qatar,TRUE
2000-03-31,Maldives,Iran,0,8,AFC Asian Cup qualification,Damascus,Syria,TRUE
2000-03-31,Qatar,Palestine,1,0,AFC Asian Cup qualification,Doha,Qatar,FALSE
2000-03-31,Syria,Bahrain,1,0,AFC Asian Cup qualification,Damascus,Syria,FALSE
2000-04-01,Aruba,Barbados,1,3,FIFA World Cup qualification,Oranjestad,Aruba,FALSE
2000-04-01,Haiti,Bahamas,9,0,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
2000-04-01,Zambia,Kenya,1,0,Friendly,Lusaka,Zambia,FALSE
2000-04-02,Bahrain,Maldives,4,1,AFC Asian Cup qualification,Damascus,Syria,TRUE
2000-04-02,Cuba,Suriname,1,0,FIFA World Cup qualification,Havana,Cuba,FALSE
2000-04-02,Guatemala,El Salvador,0,1,FIFA World Cup qualification,Guatemala,Guatemala,FALSE
2000-04-02,Palestine,Pakistan,2,0,AFC Asian Cup qualification,Doha,Qatar,TRUE
2000-04-02,Panama,Honduras,1,0,FIFA World Cup qualification,Panama City,Panama,FALSE
2000-04-02,Qatar,Kazakhstan,3,1,AFC Asian Cup qualification,Doha,Qatar,FALSE
2000-04-02,Syria,Iran,0,1,AFC Asian Cup qualification,Damascus,Syria,FALSE
2000-04-02,Trinidad and Tobago,Dominican Republic,3,0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,FALSE
2000-04-04,Bahrain,Iran,1,0,AFC Asian Cup qualification,Damascus,Syria,TRUE
2000-04-04,Malaysia,Chinese Taipei,2,3,AFC Asian Cup qualification,Bangkok,Thailand,TRUE
2000-04-04,Palestine,Jordan,1,5,AFC Asian Cup qualification,Doha,Qatar,TRUE
2000-04-04,Qatar,Pakistan,5,0,AFC Asian Cup qualification,Doha,Qatar,FALSE
2000-04-04,Syria,Maldives,2,1,AFC Asian Cup qualification,Damascus,Syria,FALSE
2000-04-04,Thailand,North Korea,5,3,AFC Asian Cup qualification,Bangkok,Thailand,FALSE
2000-04-05,Burma,Mongolia,2,0,AFC Asian Cup qualification,Seoul,South Korea,TRUE
2000-04-05,South Korea,Laos,9,0,AFC Asian Cup qualification,Seoul,South Korea,FALSE
2000-04-06,Kazakhstan,Palestine,2,0,AFC Asian Cup qualification,Doha,Qatar,TRUE
2000-04-06,Malaysia,North Korea,1,4,AFC Asian Cup qualification,Bangkok,Thailand,TRUE
2000-04-06,Pakistan,Jordan,0,5,AFC Asian Cup qualification,Doha,Qatar,TRUE
2000-04-06,Thailand,Chinese Taipei,1,0,AFC Asian Cup qualification,Bangkok,Thailand,FALSE
2000-04-07,Burma,Laos,4,0,AFC Asian Cup qualification,Seoul,South Korea,TRUE
2000-04-07,Djibouti,DR Congo,1,1,FIFA World Cup qualification,Djibouti,Djibouti,FALSE
2000-04-07,South Korea,Mongolia,6,0,AFC Asian Cup qualification,Seoul,South Korea,FALSE
2000-04-07,Mauritania,Tunisia,1,2,FIFA World Cup qualification,Nouakchott,Mauritania,FALSE
2000-04-08,Botswana,Zambia,0,1,FIFA World Cup qualification,Gaborone,Botswana,FALSE
