date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1896-03-28,Northern Ireland,Scotland,3,3,British Championship,Belfast,Republic of Ireland,FALSE
1896-04-04,Scotland,England,2,1,British Championship,Glasgow,Scotland,FALSE
1897-02-20,England,Northern Ireland,6,0,British Championship,Nottingham,England,FALSE
1897-03-06,Northern Ireland,Wales,4,3,British Championship,Belfast,Republic of Ireland,FALSE
1897-03-20,Wales,Scotland,2,2,British Championship,Wrexham,Wales,FALSE
1897-03-27,Scotland,Northern Ireland,5,1,British Championship,Glasgow,Scotland,FALSE
1897-03-29,England,Wales,4,0,British Championship,Sheffield,England,FALSE
1897-04-03,England,Scotland,1,2,British Championship,London,England,FALSE
1898-02-19,Wales,Northern Ireland,0,1,British Championship,Llandudno,Wales,FALSE
1898-03-05,Northern Ireland,England,2,3,British Championship,Belfast,Republic of Ireland,FALSE
1898-03-19,Scotland,Wales,5,2,British Championship,Motherwell,Scotland,FALSE
1898-03-26,Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,FALSE
1898-03-28,Wales,England,0,3,British Championship,Wrexham,Wales,FALSE
1898-04-02,Scotland,England,1,3,British Championship,Glasgow,Scotland,FALSE
1899-02-18,England,Northern Ireland,13,2,British Championship,Sunderland,England,FALSE
1899-03-04,Northern Ireland,Wales,1,0,British Championship,Belfast,Republic of Ireland,FALSE
1899-03-18,Wales,Scotland,0,6,British Championship,Wrexham,Wales,FALSE
1899-03-20,England,Wales,4,0,British Championship,Bristol,England,FALSE
1899-03-25,Scotland,Northern Ireland,9,1,British Championship,Glasgow,Scotland,FALSE
1899-04-08,England,Scotland,2,1,British Championship,Birmingham,England,FALSE
